,Title,Location,Price,Area,Status
184,5 BHK Villa,"Moinabad, Hyderabad",200000,7000,Furnished
185,2 BHK Apartment,"Chintalmet, Hyderabad","10,000",1000,Semi-Furnished
186,3 BHK Independent House,"Bolarum, Hyderabad","18,000",2000,Semi-Furnished
187,2 BHK Independent Floor,"Upparpally, Hyderabad","18,000",1700,Furnished
188,2 BHK Apartment,"Boiguda, Hyderabad","17,000",900,Unfurnished
189,3 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad","16,000",1570,Semi-Furnished
190,2 BHK Apartment,"Moosapet, Hyderabad","15,000",1100,Semi-Furnished
191,3 BHK Apartment,"Somajiguda, Hyderabad","20,000",1500,Semi-Furnished
192,3 BHK Independent House,"Kothapet, Hyderabad","40,000",1700,Semi-Furnished
193,1 BHK Independent Floor,"Attapur, Hyderabad","8,000",700,Unfurnished
194,7 BHK Independent Floor,"Miyapur, Hyderabad",150000,9900,Semi-Furnished
195,3 BHK Apartment,"Ramachandra Puram, Hyderabad","18,000",1300,Semi-Furnished
196,3 BHK Apartment,"Gajulramaram Kukatpally, Hyderabad","27,000",1620,Semi-Furnished
197,3 BHK Apartment,"Krishna Reddy Pet, Hyderabad","18,000",1360,Semi-Furnished
198,3 BHK Apartment,"Pocharam, Hyderabad","12,000",1500,Semi-Furnished
199,2 BHK Independent House,"Kothapet, Hyderabad","13,500",1400,Unfurnished
200,4 BHK Independent House,"Old Bowenpally, Hyderabad","16,500",1000,Unfurnished
201,2 BHK Independent House,"Khairatabad Road, Hyderabad","14,000",700,Semi-Furnished
202,2 BHK Independent House,"Shaikpet, Hyderabad","12,000",1200,Unfurnished
203,5 BHK Villa,"Nallagandla Gachibowli, Hyderabad","80,000",4000,Semi-Furnished
204,5 BHK Villa,"Moinabad, Hyderabad",200000,7000,Furnished
205,2 BHK Apartment,"Chintalmet, Hyderabad","10,000",1000,Semi-Furnished
206,3 BHK Independent House,"Bolarum, Hyderabad","18,000",2000,Semi-Furnished
207,2 BHK Independent Floor,"Upparpally, Hyderabad","18,000",1700,Furnished
208,2 BHK Apartment,"Boiguda, Hyderabad","17,000",900,Unfurnished
209,3 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad","16,000",1570,Semi-Furnished
